RowsA,ColsA,ColsB,CGRA,,,,CPU,,,Speedup
,,,Cycles,CGRA-Normalized,Auxiliar,CGRA-Normalized vs CPU,Cycles,CPU-Normalized,Auxiliar,
95,95,95,670277,"19,17158629",34962,"1,427533624",12094990,"25,75950675",469535,"18,04"
96,96,96,706790,"20,21594874",34962,"1,505297795",13364513,"28,46329454",469535,"18,91"
97,97,97,727721,"20,81462731",34962,"1,549875941",12873032,"27,41655468",469535,"17,69"
98,98,98,740363,"21,1762199",34962,"1,576800452",13274263,"28,27108309",469535,"17,93"
99,99,99,776302,"22,20416452",34962,"1,653342136",13683746,"29,14318634",469535,"17,63"
100,100,100,807404,"23,09375894",34962,"1,71958214",15101365,"32,16238406",469535,"18,70"
101,101,101,815845,"23,33519249",34962,"1,7375595",14527804,"30,94083295",469535,"17,81"
102,102,102,817564,"23,38436016",34962,"1,741220569",14962547,"31,86673411",469535,"18,30"
103,103,103,844999,"24,16906928",34962,"1,799650718",15405878,"32,8109257",469535,"18,23"
104,104,104,864264,"24,7200961",34962,"1,840680673",16982537,"36,16884151",469535,"19,65"
105,105,105,890481,"25,46996739",34962,"1,896516767",16318640,"34,7548958",469535,"18,33"
106,106,106,908952,"25,99828385",34962,"1,935855687",16788239,"35,75503211",469535,"18,47"
107,107,107,959083,"27,43215491",34962,"2,042623021",17266762,"36,77417445",469535,"18,00"
108,108,108,1001021,"28,63168583",34962,"2,131941176",19013789,"40,49493435",469535,"18,99"
109,109,109,1018109,"29,12044505",34962,"2,168334629",18250916,"38,87019285",469535,"17,93"
110,110,110,1021082,"29,20548024",34962,"2,174666425",18756715,"39,94742671",469535,"18,37"
111,111,111,1058706,"30,28162004",34962,"2,254796767",19271774,"41,04438221",469535,"18,20"
112,112,112,1095602,"31,33693725",34962,"2,333376639",21200881,"45,15293003",469535,"19,35"
113,113,113,1102709,"31,54021509",34962,"2,34851289",20330008,"43,29817373",469535,"18,44"
114,114,114,1094620,"31,30884961",34962,"2,331285208",20873351,"44,45536754",469535,"19,07"
115,115,115,1129205,"32,29806647",34962,"2,404943188",21426290,"45,63299861",469535,"18,97"
116,116,116,1209194,"34,58595046",34962,"2,575301096",23549573,"50,155096",469535,"19,48"
117,117,117,1185698,"33,91390653",34962,"2,525260098",22561292,"48,05028805",469535,"19,03"
118,118,118,1198385,"34,27678623",34962,"2,552280448",23143523,"49,29030424",469535,"19,31"
119,119,119,1212542,"34,68171157",34962,"2,582431555",23735686,"50,55147327",469535,"19,58"
