RowsA,ColsA,ColsB,CGRA,CPU,Speedup
32,35,64,75544,1096167,"14,51"
32,35,65,76617,1113356,"14,53"
32,35,66,76959,1130476,"14,69"
32,35,67,77541,1147596,"14,80"
32,35,68,80232,1088587,"13,57"
32,35,69,81305,1181836,"14,54"
32,35,70,81641,1120550,"13,73"
32,35,71,82256,1216076,"14,78"
33,32,32,34983,517933,"14,81"
33,32,33,35682,499360,"13,99"
33,32,34,50927,514479,"10,10"
33,32,35,65489,529593,"8,09"
33,32,36,39384,544707,"13,83"
33,32,37,40000,598861,"14,97"
33,32,38,53246,574935,"10,80"
33,32,39,67892,590049,"8,69"
33,32,40,43769,605163,"13,83"
33,32,41,44402,663541,"14,94"
33,32,42,55409,635391,"11,47"
33,32,43,70363,650505,"9,24"
33,32,44,48093,665619,"13,84"
33,32,45,48757,728221,"14,94"
33,32,46,57675,695847,"12,06"
33,32,47,72856,710961,"9,76"
33,32,48,52417,726075,"13,85"
33,32,49,53080,792901,"14,94"
33,32,50,59926,756303,"12,62"
33,32,51,75269,771417,"10,25"
33,32,52,56741,786531,"13,86"
33,32,53,57402,857581,"14,94"
33,32,54,62190,816759,"13,13"
33,32,55,77631,831873,"10,72"
33,32,56,61065,846987,"13,87"
33,32,57,61720,922261,"14,94"
33,32,58,64454,877215,"13,61"
33,32,59,80082,892329,"11,14"
33,32,60,65389,907443,"13,88"
33,32,61,66018,986941,"14,95"
33,32,62,66733,937671,"14,05"
33,32,63,82624,1019281,"12,34"
33,32,64,69713,967861,"13,88"
33,32,65,70342,983013,"13,97"
33,32,66,69969,1067791,"15,26"
33,32,67,85101,1083961,"12,74"
33,32,68,74037,1100131,"14,86"
33,32,69,74666,1043469,"13,98"
33,32,70,74280,1132471,"15,25"
33,32,71,87502,1148641,"13,13"
33,33,32,36030,533773,"14,81"
33,33,33,36679,514566,"14,03"
33,33,34,51907,567176,"10,93"
33,33,35,67450,583841,"8,66"
33,33,36,40534,600506,"14,81"
33,33,37,41142,576910,"14,02"
33,33,38,54853,633836,"11,56"
33,33,39,69958,650501,"9,30"
33,33,40,45047,667166,"14,81"
33,33,41,45703,639214,"13,99"
33,33,42,57086,700496,"12,27"
33,33,43,72491,717161,"9,89"
33,33,44,49499,733826,"14,83"
33,33,45,50159,701518,"13,99"
33,33,46,59416,767156,"12,91"
33,33,47,75065,783821,"10,44"
33,33,48,53951,800486,"14,84"
33,33,49,54643,763822,"13,98"
33,33,50,61743,833816,"13,50"
33,33,51,77624,850481,"10,96"
33,33,52,58403,867146,"14,85"
33,33,53,59093,826126,"13,98"
33,33,54,64071,900476,"14,05"
33,33,55,80021,917141,"11,46"
33,33,56,62855,933806,"14,86"
33,33,57,63543,888430,"13,98"
33,33,58,66403,967136,"14,56"
33,33,59,82533,983801,"11,92"
33,33,60,67307,1000466,"14,86"
33,33,61,67963,950734,"13,99"
33,33,62,68748,1033796,"15,04"
33,33,63,85035,981886,"11,55"
33,33,64,71759,997389,"13,90"
33,33,65,72415,1083791,"14,97"
33,33,66,72028,1028581,"14,28"
33,33,67,87727,1044190,"11,90"
33,33,68,76211,1059766,"13,91"
33,33,69,76867,1150451,"14,97"
33,33,70,76475,1090918,"14,27"
33,33,71,90182,1106494,"12,27"
33,34,32,37054,549620,"14,83"
33,34,33,37689,529852,"14,06"
33,34,34,53994,583933,"10,81"
33,34,35,69416,561933,"8,10"
33,34,36,41686,577971,"13,86"
33,34,37,42317,635491,"15,02"
33,34,38,56461,610047,"10,80"
33,34,39,72017,626085,"8,69"
33,34,40,46327,642123,"13,86"
33,34,41,47038,704131,"14,97"
33,34,42,58758,674199,"11,47"
33,34,43,74581,690237,"9,25"
33,34,44,50907,706275,"13,87"
33,34,45,51594,772771,"14,98"
33,34,46,61156,738351,"12,07"
33,34,47,77252,754389,"9,77"
33,34,48,55487,770427,"13,88"
33,34,49,56207,841411,"14,97"
33,34,50,63554,802503,"12,63"
33,34,51,79909,818541,"10,24"
33,34,52,60067,834579,"13,89"
33,34,53,60786,910051,"14,97"
33,34,54,65945,866655,"13,14"
33,34,55,82419,882693,"10,71"
33,34,56,64647,898731,"13,90"
33,34,57,65364,978691,"14,97"
33,34,58,68343,930807,"13,62"
33,34,59,84923,946845,"11,15"
33,34,60,69227,962883,"13,91"
33,34,61,69938,1047331,"14,98"
33,34,62,70745,994959,"14,06"
33,34,63,87502,1081651,"12,36"
33,34,64,73807,1026964,"13,91"
33,34,65,74490,1043073,"14,00"
33,34,66,74084,1133131,"15,30"
33,34,67,90135,1150291,"12,76"
33,34,68,78387,1091149,"13,92"
33,34,69,79070,1107225,"14,00"
33,34,70,78661,1201771,"15,28"
33,34,71,92943,1218931,"13,11"
33,35,32,38078,565460,"14,85"
33,35,33,38682,545098,"14,09"
33,35,34,55530,561603,"10,11"
33,35,35,73419,618418,"8,42"
33,35,36,42838,594603,"13,88"
33,35,37,43519,653806,"15,02"
33,35,38,58052,627603,"10,81"
33,35,39,74094,644103,"8,69"
33,35,40,47607,660603,"13,88"
33,35,41,48353,724426,"14,98"
33,35,42,60441,693603,"11,48"
33,35,43,76731,710103,"9,25"
33,35,44,52315,726603,"13,89"
33,35,45,53027,795046,"14,99"
33,35,46,62894,759603,"12,08"
33,35,47,79435,776103,"9,77"
33,35,48,57023,792603,"13,90"
33,35,49,57739,865666,"14,99"
33,35,50,65360,825603,"12,63"
33,35,51,82151,842103,"10,25"
33,35,52,61731,858603,"13,91"
33,35,53,62481,936286,"14,99"
33,35,54,67814,891603,"13,15"
33,35,55,84820,908103,"10,71"
33,35,56,66439,924603,"13,92"
33,35,57,67187,1006906,"14,99"
33,35,58,70287,957603,"13,62"
33,35,59,87380,974103,"11,15"
33,35,60,71147,990603,"13,92"
33,35,61,71893,1077526,"14,99"
33,35,62,72753,1023603,"14,07"
33,35,63,90046,1112836,"12,36"
33,35,64,75855,1056532,"13,93"
33,35,65,76567,1073103,"14,02"
33,35,66,76130,1165801,"15,31"
33,35,67,92661,1183456,"12,77"
33,35,68,80563,1201111,"14,91"
33,35,69,81275,1139103,"14,02"
33,35,70,80833,1155565,"14,30"
33,35,71,95588,1254076,"13,12"
34,32,32,35306,533626,"15,11"
34,32,33,49372,514495,"10,42"
34,32,34,67724,530062,"7,83"
34,32,35,84429,583686,"6,91"
34,32,36,39716,561211,"14,13"
34,32,37,54002,576783,"10,68"
34,32,38,69889,633666,"9,07"
34,32,39,88603,650326,"7,34"
34,32,40,44122,623499,"14,13"
34,32,41,58337,639071,"10,95"
34,32,42,74128,700306,"9,45"
34,32,43,92842,716966,"7,72"
34,32,44,48485,685787,"14,14"
34,32,45,62731,701359,"11,18"
34,32,46,78376,766946,"9,79"
34,32,47,97090,783606,"8,07"
34,32,48,52853,748075,"14,15"
34,32,49,67115,763647,"11,38"
34,32,50,82561,833586,"10,10"
34,32,51,101275,850246,"8,40"
34,32,52,57220,810363,"14,16"
34,32,53,71511,825935,"11,55"
34,32,54,86809,900226,"10,37"
34,32,55,105523,916886,"8,69"
34,32,56,61558,872651,"14,18"
34,32,57,75813,888223,"11,72"
34,32,58,91075,966866,"10,62"
34,32,59,109795,983526,"8,96"
34,32,60,65888,934939,"14,19"
34,32,61,80101,1016846,"12,69"
34,32,62,95352,966083,"10,13"
34,32,63,114074,981655,"8,61"
34,32,64,70242,997188,"14,20"
34,32,65,84418,1083486,"12,83"
34,32,66,99548,1028371,"10,33"
34,32,67,118266,1043943,"8,83"
34,32,68,74624,1133466,"15,19"
34,32,69,88752,1150126,"12,96"
34,32,70,103805,1090659,"10,51"
34,32,71,122508,1106231,"9,03"
34,33,32,36336,549953,"15,14"
34,33,33,50853,567116,"11,15"
34,33,34,70246,546246,"7,78"
34,33,35,86984,601536,"6,92"
34,33,36,40869,578347,"14,15"
34,33,37,55620,594395,"10,69"
34,33,38,71997,653046,"9,07"
34,33,39,91285,670216,"7,34"
34,33,40,45402,642539,"14,15"
34,33,41,60076,658587,"10,96"
34,33,42,76370,721726,"9,45"
34,33,43,95658,738896,"7,72"
34,33,44,49892,706731,"14,17"
34,33,45,64598,722779,"11,19"
34,33,46,80746,790406,"9,79"
34,33,47,100034,807576,"8,07"
34,33,48,54389,770923,"14,17"
34,33,49,69100,786971,"11,39"
34,33,50,85080,859086,"10,10"
34,33,51,104368,876256,"8,40"
34,33,52,58885,835115,"14,18"
34,33,53,73624,851163,"11,56"
34,33,54,89444,927766,"10,37"
34,33,55,108732,944936,"8,69"
34,33,56,63365,899307,"14,19"
34,33,57,78149,915355,"11,71"
34,33,58,93820,996446,"10,62"
34,33,59,113114,1013616,"8,96"
34,33,60,67827,963499,"14,21"
34,33,61,82524,1047956,"12,70"
34,33,62,98222,995595,"10,14"
34,33,63,117517,1011643,"8,61"
34,33,64,72292,1027618,"14,21"
34,33,65,86957,1116636,"12,84"
34,33,66,102588,1133733,"11,05"
34,33,67,121881,1075835,"8,83"
34,33,68,76786,1168146,"15,21"
34,33,69,91411,1185316,"12,97"
34,33,70,106932,1123979,"10,51"
34,33,71,126151,1140027,"9,04"
34,34,32,37354,566266,"15,16"
34,34,33,52300,584021,"11,17"
34,34,34,69640,562389,"8,08"
34,34,35,89540,578954,"6,47"
34,34,36,42014,637061,"15,16"
34,34,37,57240,654741,"11,44"
34,34,38,74105,628526,"8,48"
34,34,39,93967,645050,"6,86"
34,34,40,46682,707781,"15,16"
34,34,41,61813,725461,"11,74"
34,34,42,78614,694622,"8,84"
34,34,43,98476,711146,"7,22"
34,34,44,51306,778501,"15,17"
34,34,45,66431,796181,"11,99"
34,34,46,83111,760718,"9,15"
34,34,47,102973,777242,"7,55"
34,34,48,55925,849221,"15,18"
34,34,49,71091,866901,"12,19"
34,34,50,87601,826814,"9,44"
34,34,51,107463,843338,"7,85"
34,34,52,60549,919941,"15,19"
34,34,53,75739,937621,"12,38"
34,34,54,92057,892910,"9,70"
34,34,55,111919,909434,"8,13"
34,34,56,65172,990661,"15,20"
34,34,57,80399,1008341,"12,54"
34,34,58,96561,959006,"9,93"
34,34,59,116423,975530,"8,38"
34,34,60,69766,1061381,"15,21"
34,34,61,84959,1008578,"11,87"
34,34,62,101082,1096741,"10,85"
34,34,63,120950,1114421,"9,21"
34,34,64,74352,1058075,"14,23"
34,34,65,89503,1074674,"12,01"
34,34,66,105615,1167461,"11,05"
34,34,67,125485,1185141,"9,44"
34,34,68,78962,1124212,"14,24"
34,34,69,94076,1140770,"12,13"
34,34,70,110067,1238181,"11,25"
34,34,71,129294,1255861,"9,71"
34,35,32,38372,582593,"15,18"
34,35,33,53811,561619,"10,44"
34,35,34,71621,578614,"8,08"
34,35,35,89163,595573,"6,68"
34,35,36,43166,612619,"14,19"
34,35,37,58858,629619,"10,70"
34,35,38,76218,691806,"9,08"
34,35,39,96654,709996,"7,35"
34,35,40,47963,680619,"14,19"
34,35,41,63586,697619,"10,97"
34,35,42,80851,764566,"9,46"
34,35,43,101287,782756,"7,73"
34,35,44,52714,748619,"14,20"
34,35,45,68298,765619,"11,21"
34,35,46,85475,837326,"9,80"
34,35,47,105911,855516,"8,08"
34,35,48,57460,816619,"14,21"
34,35,49,73086,833619,"11,41"
34,35,50,90112,910086,"10,10"
34,35,51,110548,928276,"8,40"
34,35,52,62213,884619,"14,22"
