RowsA,ColsA,ColsB,CGRA,CPU,Speedup
51,35,33,63125,842391,"13,34"
51,35,34,63751,867891,"13,61"
51,35,35,86543,955702,"11,04"
52,32,32,56513,762955,"13,50"
52,32,33,58000,786835,"13,57"
52,32,34,58484,810651,"13,86"
52,32,35,80798,834467,"10,33"
52,33,32,58177,786206,"13,51"
52,33,33,59710,867320,"14,53"
52,33,34,58621,835403,"14,25"
52,33,35,83259,859947,"10,33"
52,34,32,59841,809502,"13,53"
52,34,33,61452,834883,"13,59"
52,34,34,62014,920100,"14,84"
52,34,35,85806,885427,"10,32"
52,35,32,61505,832798,"13,54"
52,35,33,63161,858907,"13,60"
52,35,34,63752,884907,"13,88"
52,35,35,88146,974440,"11,05"
53,32,32,56664,831793,"14,68"
53,32,33,57799,857881,"14,84"
53,32,34,72019,826239,"11,47"
53,32,35,96361,850513,"8,83"
53,33,32,58328,857240,"14,70"
53,33,33,59470,826386,"13,90"
53,33,34,74639,851467,"11,41"
53,33,35,99289,876483,"8,83"
53,34,32,59992,882680,"14,71"
53,34,33,61142,910351,"14,89"
53,34,34,76365,937793,"12,28"
53,34,35,102195,902453,"8,83"
53,35,32,61656,908120,"14,73"
53,35,33,62782,936586,"14,92"
53,35,34,78529,901923,"11,49"
53,35,35,107349,993178,"9,25"
54,32,32,56927,847486,"14,89"
54,32,33,63245,817095,"12,92"
54,32,34,88835,900526,"10,14"
54,32,35,115297,926986,"8,04"
54,33,32,58590,873413,"14,91"
54,33,33,65143,900676,"13,83"
54,33,34,92339,928066,"10,05"
54,33,35,118808,955336,"8,04"
54,34,32,60254,899333,"14,93"
54,34,33,67091,866991,"12,92"
54,34,34,92560,893169,"9,65"
54,34,35,122297,983686,"8,04"
54,35,32,61917,925253,"14,94"
54,35,33,69002,891939,"12,93"
54,35,34,95206,983146,"10,33"
54,35,35,123086,945873,"7,68"
55,32,32,60822,806968,"13,27"
55,32,33,62375,832225,"13,34"
55,32,34,62889,857415,"13,63"
55,32,35,85616,882605,"10,31"
55,33,32,62614,831560,"13,28"
55,33,33,64216,917354,"14,29"
55,33,34,63087,883595,"14,01"
55,33,35,88195,909555,"10,31"
